syncom_id,part,rep,protein_conc_g,protein_content
1,root,1,1.8700088710708729,1.4511268839509979
1,root,2,1.5595272422757802,0.991859326087396
1,root,3,2.235504374660643,1.3055345548018158
1,root,4,1.766508777107459,1.1446976875656334
2,root,1,1.5707433323273772,1.0618224926533069
2,root,2,1.7752130777896502,1.4503490845541445
2,root,3,1.7384529116414145,1.1369482042134849
2,root,4,2.0786804738311977,1.3740077932024208
23,root,1,1.5768406503812533,1.6525290015995528
23,root,2,1.799231508068843,1.7830384244962236
23,root,3,1.7381556308491857,1.208018163440184
23,root,4,1.7326439558929698,0.9442909559616685
24,root,1,1.5695145215717659,1.439244816281309
24,root,2,2.162884236879555,1.5053674288681702
24,root,3,2.2866729496506384,1.586951027057544
24,root,4,2.577231119628035,1.6185011431264056
41,root,1,2.274923720522312,1.5082744267062924
41,root,2,2.0568604997776165,1.9951546847842885
41,root,3,2.0937174472177484,1.3671974930331898
41,root,4,1.7174883563969094,1.2503315234569496
45,root,1,1.7493582064559303,1.838575474985183
45,root,2,1.9431470908556674,1.3485440810538332
45,root,3,2.1787682798977763,1.5338528690480344
45,root,4,1.9838255150754234,1.4958044383668692
1,stem,1,2.577231119628035,2.0153947355491235
1,stem,2,2.1787682798977763,1.4379870647325323
1,stem,3,2.0530896981844977,1.1784734867579016
1,stem,4,3.0127553166857353,2.114954232313386
2,stem,1,2.830928449297178,2.168491192161638
2,stem,2,2.7242923817596747,2.2993027702051654
2,stem,3,2.137714160822977,1.592597049813118
2,stem,4,2.643673827419851,2.159881517002018
23,stem,1,1.966789503612583,1.59113270842258
23,stem,2,3.308020508098447,3.132695421169229
23,stem,3,2.674391529273982,1.9442826417821848
23,stem,4,2.674391529273982,1.7597496262622803
24,stem,1,2.436435028793227,2.1148256049925207
24,stem,2,3.5849596865966595,2.434187627199132
24,stem,3,1.664754196095111,1.3917345079355128
24,stem,4,3.612719949043977,2.0953775704455064
41,stem,1,2.0623197523199406,1.6292326043327532
41,stem,2,1.9944299925220836,1.9724912626043407
41,stem,3,2.888591863968459,1.8400330173479083
41,stem,4,2.2815697216382533,2.3043854188546358
45,stem,1,4.7688304064993154,4.935739470726791
45,stem,2,1.3963939650944863,1.079412535018038
45,stem,3,3.0189834418866615,1.6513839427120038
45,stem,4,2.2036093793600733,1.5337121280346109
1,first_leaf,1,4.845740517955053,0.8916162553037298
1,first_leaf,2,4.535838377293716,0.798307554403694
1,first_leaf,3,6.760643694538417,0.905926255068148
1,first_leaf,4,5.644120325733152,0.5813443935505146
2,first_leaf,1,5.231875441183786,0.858027572354141
2,first_leaf,2,5.140729016633154,0.8122351846280383
2,first_leaf,3,8.844322757392385,1.3266484136088577
2,first_leaf,4,6.872174134190534,0.8521495926396262
23,first_leaf,1,3.4120359171580668,0.7404117940233005
23,first_leaf,2,4.518240799392288,0.8268380662887886
23,first_leaf,3,6.794251421358642,1.0327262160465136
23,first_leaf,4,6.197200649022239,0.9295800973533358
24,first_leaf,1,3.78327050075724,0.5901901981181294
24,first_leaf,2,4.556322162015865,0.7654621232186655
24,first_leaf,3,6.1518905095998,0.9719987005167685
24,first_leaf,4,5.149753882819582,0.777612836305757
41,first_leaf,1,2.966062391597948,0.2728777400270112
41,first_leaf,2,6.228835439003132,0.8408927842654228
41,first_leaf,3,3.0787136232142465,0.35097335304642413
41,first_leaf,4,5.3754384381009235,0.6773052432007164
45,first_leaf,1,2.8701782886854654,0.5453338748502384
45,first_leaf,2,3.246323287764795,0.5259043726178968
45,first_leaf,3,4.962681818504854,0.5558203636725436
45,first_leaf,4,3.5689519386183215,0.46753270395900015
1,second_leaf,1,4.020104608345592,1.8854290613140823
1,second_leaf,2,4.20098306083874,2.071084648993499
1,second_leaf,3,6.552052545330181,2.5094361248614594
1,second_leaf,4,5.1262929965764545,2.229937453510758
2,second_leaf,1,7.9393109850432,3.4853575224339646
2,second_leaf,2,5.6634414481308735,2.6901346878621646
2,second_leaf,3,9.308929840614582,3.8352790943332074
2,second_leaf,4,4.2848744854484835,1.8682052756555387
23,second_leaf,1,3.7591982799417134,1.834488760611556
23,second_leaf,2,5.929798405675714,3.1487229534138046
23,second_leaf,3,10.94357233123165,4.70573610242961
23,second_leaf,4,3.3662965327193737,1.5989908530417025
24,second_leaf,1,5.679472783694686,2.362660678016989
24,second_leaf,2,6.790383212250406,2.8859128652064223
24,second_leaf,3,5.133676187387808,2.3152879605119012
24,second_leaf,4,7.324346155405191,3.303280116087741
41,second_leaf,1,9.871203529860463,4.185390296660836
41,second_leaf,2,10.126432971054065,4.749297063424356
41,second_leaf,3,4.08970283203573,1.4027680713882555
41,second_leaf,4,4.674374386148956,2.1829328383315625
45,second_leaf,1,5.040354192883895,2.5201770964419477
45,second_leaf,2,8.495405684943371,3.5595749819912723
45,second_leaf,3,5.523915614803151,1.8063204060406306
45,second_leaf,4,10.535263084414316,3.9823294459086114
1,third_leaf,1,5.944556942283271,3.614290620908229
1,third_leaf,2,4.915952911294938,2.1630192809697726
1,third_leaf,3,5.435005581073974,2.1631322212674418
1,third_leaf,4,5.0772725758659085,2.665568102329602
2,third_leaf,1,7.75642372082939,5.429496604580573
2,third_leaf,2,9.657060846379286,6.7599425924655
2,third_leaf,3,5.936010360336864,3.751558547732898
2,third_leaf,4,6.477438620673721,4.456477771023519
23,third_leaf,1,6.856436464479955,7.295248398206673
23,third_leaf,2,9.73562874337426,5.880319760998053
23,third_leaf,3,9.998087137740631,6.348785332465301
23,third_leaf,4,7.378854508872551,3.9034140351935798
24,third_leaf,1,6.269983480076857,4.207158915131571
24,third_leaf,2,4.788618474019689,2.3799433815877853
24,third_leaf,3,8.498471767669225,5.413526516005296
24,third_leaf,4,10.745026418669577,5.5981587641268495
41,third_leaf,1,4.4155712008604695,3.3911586822608406
41,third_leaf,2,6.386444213810303,5.1410875921172945
41,third_leaf,3,4.9305748577424175,2.3617453568586178
41,third_leaf,4,10.604178790638809,7.12600814730928
45,third_leaf,1,6.282682485752869,4.96960184623052
45,third_leaf,2,9.8674913294748,7.1341962312102805
45,third_leaf,3,8.87366494463157,3.9754018951949432
45,third_leaf,4,2.4727201007270128,1.3797778162056733
